whale_ID,AID,year,year_f,month,date,DOY,sex,DU,BAI_mean,BAI_SD,BAI_low,BAI_upp,mean_temp_30d,mean_temp_15d,prev_30d_hypoxic_days,prev_15d_hypoxic_days,prev15d_cuti_sum,prev15d_cuti_mean,ndays_Rx_15d,prev30d_cuti_sum,prev30d_cuti_mean,ndays_Rx_30d,winter,winter_precip_cm,kelp_area,MEI,MEI_season,PDO,PDO_season,CUTI_RX_ratio
CRC204,CRC204_200708,2020,2020,7,2020-07-08,190,Female,LF,22.6764570379605,0.232100248481007,22.2152737871072,23.1248690071859,NA,NA,0,0,7.351,0.565461538461538,2,10.485,0.499285714285714,9,2019-2020,50.5,21692,-0.68,-0.754285714285714,-0.75,-0.981666666666667,1.0426904761904763
CRC204,CRC204_220615,2022,2022,6,2022-06-15,166,Female,MF,27.3512654661065,0.337599560538243,26.689504206942,28.0089923774391,10.0034009722222,10.6615561111111,0,0,1.663,0.207875,7,6.704,0.319238095238095,9,2021-2022,116.03,3632,-1.63,-1.78857142857143,-2.24,-2.16,1.5612894736842104
CRC204,CRC204_220708,2022,2022,7,2022-07-08,189,Female,MF,27.3309244940253,0.284351002072863,26.7765411843621,27.8985159822118,8.99435958333333,8.55691277777778,6,3,7.553,0.629416666666667,3,11.821,0.51395652173913,7,2021-2022,116.03,3632,-1.9,-1.78857142857143,-1.32,-2.16,1.5612894736842104
CRC204,CRC204_220710,2022,2022,7,2022-07-10,191,Female,MF,26.2980864235563,0.580681482086962,25.1744781202875,27.4410593825651,8.79331777777778,8.63998972222222,6,1,4.751,0.431909090909091,4,11.989,0.521260869565217,7,2021-2022,116.03,3632,-1.9,-1.78857142857143,-1.32,-2.16,1.5612894736842104
CRC204,CRC204_220715,2022,2022,7,2022-07-15,196,Female,MF,30.9233273145413,0.418772188683332,30.1372869926516,31.7483740004045,8.46438125,8.35828333333333,9,4,8.591,0.660846153846154,2,16.851,0.67404,5,2021-2022,116.03,3632,-1.9,-1.78857142857143,-1.32,-2.16,1.5612894736842104
CRC204,CRC204_220727,2022,2022,7,2022-07-27,208,Female,MF,28.6660402804111,0.363838047056942,27.9641900087509,29.3929415484261,8.30663430555555,7.97347472222222,13,11,12.545,0.965,2,17.124,0.7135,6,2021-2022,116.03,3632,-1.9,-1.78857142857143,-1.32,-2.16,1.5612894736842104
CRC204,CRC204_220803,2022,2022,8,2022-08-03,215,Female,MF,27.0684816757514,0.334450414417991,26.4119767070135,27.7171279402365,8.09254416666667,7.99026444444444,14,7,9.267,0.6178,0,16.465,0.633269230769231,4,2021-2022,116.03,3632,-2.17,-1.78857142857143,-2.64,-2.16,1.5612894736842104
CRC204,CRC204_220822,2022,2022,8,2022-08-22,234,Female,MF,27.5519615180878,0.406345476108222,26.7694864273033,28.3523228887406,8.99220347222222,9.90864305555556,5,0,2.862,0.2862,5,11.716,0.488166666666667,6,2021-2022,116.03,3632,-2.17,-1.78857142857143,-2.64,-2.16,1.5612894736842104
CRC204,CRC204_220901,2022,2022,9,2022-09-01,244,Female,MF,25.6797975380797,0.333613208540177,25.0335797258933,26.3441655075415,9.37413152777778,9.30813416666667,2,0,5.324,0.443666666666667,3,9.257,0.402478260869565,7,2021-2022,116.03,3632,-1.75,-1.78857142857143,-2.38,-2.16,1.5612894736842104
CRC204,CRC204_220912,2022,2022,9,2022-09-12,255,Female,MF,29.0834333277661,0.467033171114777,28.192737728885,30.0054905160596,9.26286777777778,8.88340638888889,2,2,9.076,0.648285714285714,1,13.534,0.520538461538462,4,2021-2022,116.03,3632,-1.75,-1.78857142857143,-2.38,-2.16,1.5612894736842104
CRC204,CRC204_221004,2022,2022,10,2022-10-04,277,Female,MF,31.8058219207099,0.258216734584512,31.3136964526246,32.309093781533,10.0235305555556,10.9850430555556,2,0,2.976,0.425142857142857,8,10.274,0.570777777777778,12,2021-2022,116.03,3632,-1.73,-1.78857142857143,-2.29,-2.16,1.5612894736842104
CRC204,CRC204_221015,2022,2022,10,2022-10-15,288,Female,MF,29.7137054838823,0.567442674307488,28.6273223185683,30.8251685167279,10.4538831944444,10.4550683333333,0,0,6.288,0.524,3,8.562,0.450631578947368,11,2021-2022,116.03,3632,-1.73,-1.78857142857143,-2.29,-2.16,1.5612894736842104
CRC204,CRC204_230627,2023,2023,6,2023-06-27,178,Female,MF,29.2216516050874,0.406141266733725,28.4258802009715,30.0343310090241,8.05272125,7.95634472222222,1,0,7.576,0.582769230769231,2,22.242,0.823777777777778,3,2022-2023,99.26,143972,-0.06,0.31,-2.42,-2.66666666666667,2.5459714285714283
CRC204,CRC204_230822,2023,2023,8,2023-08-22,234,Female,MF,30.201613151542,0.356274296430179,29.4793262795614,30.90551045435,8.79753180555556,8.752345,5,5,10.891,0.726066666666667,0,17.233,0.594241379310345,1,2022-2023,99.26,143972,0.5,0.31,-2.52,-2.66666666666667,2.5459714285714283
CRC254,CRC254_180919,2018,2018,9,2018-09-19,262,Male,MM,30.0644094959289,0.491651306963158,29.1106416508089,31.0186976585009,9.60376222222222,10.2233441666667,8,3,3.916,0.3916,5,13.876,0.55504,5,2017-2018,51.23,26712,0.46,-0.175714285714286,-0.24,-0.421666666666667,2.1170750000000003
CRC254,CRC254_230829,2023,2023,8,2023-08-29,241,Male,MM,27.0379650530559,0.425660309393641,26.2118172851204,27.8803043944433,8.86201472222222,8.76610777777778,7,5,8.675,0.722916666666667,3,15.353,0.56862962962963,3,2022-2023,99.26,143972,0.5,0.31,-2.52,-2.66666666666667,2.5459714285714283
CRC277,CRC277_180612,2018,2018,6,2018-06-12,163,Female,MF,30.2069478685119,0.531777394375095,29.185034178703,31.2521860677027,8.96363527777778,8.89316055555556,5,5,6.287,0.698555555555556,6,12.001,0.60005,10,2017-2018,51.23,26712,-0.94,-0.175714285714286,-0.45,-0.421666666666667,2.1170750000000003
